#,Area,English,Bulgarian,Sources
174,Modals,Both Hours,,src/components/modals/EditModal/EditClassForm.tsx
175,Modals,Bulgarian,,src/components/modals/CreateAnnouncementModal.tsx
176,Modals,Bulgarian body,,src/components/modals/CreateAnnouncementModal.tsx
177,Modals,Bulgarian title,,src/components/modals/CreateAnnouncementModal.tsx
178,Modals,Cancel,,src/components/modals/AvatarCropModal.tsx; src/components/modals/ConfirmationModal.tsx; src/components/modals/CreateAnnouncementModal.tsx; src/components/modals/CreateAssignmentModal.tsx; src/components/modals/EditModal/EditModal.tsx; src/components/modals/MentorAssignModal.tsx; src/components/subject/SubjectCurriculumPlan.tsx; src/views/admin/AttendanceView.tsx; src/views/admin/TuitionView.tsx; src/views/admin/planning/AddPlanningSubjectModal.tsx; src/views/admin/planning/PlanningCalendarGrid.tsx; src/views/admin/planning/SchoolYearSelector.tsx; src/views/shared/MessagesView.tsx; src/views/shared/TodosView.tsx; src/views/shared/classwork/SubjectDetailPage.tsx; src/views/shared/tabs/MaterialsTab.tsx; src/views/shared/tabs/StaffNotesTab.tsx; src/views/student/DutyMarkingView.tsx; src/views/student/MyAttendanceBreakdownView.tsx
179,Modals,Choose file,,src/components/modals/CreateAnnouncementModal.tsx
180,Modals,Choose who should see this post.,,src/components/modals/CreateAnnouncementModal.tsx
181,Modals,Close,,src/components/modals/ContactMentorModal.tsx; src/components/modals/CreateAssignmentModal.tsx; src/components/modals/EditModal/EditModal.tsx; src/components/modals/FilePreviewModal.tsx; src/components/modals/GradeModal.tsx; src/components/modals/SubmissionDetailModal.tsx; src/views/admin/AdminDashboard.tsx; src/views/admin/BooksView.tsx; src/views/admin/TuitionView.tsx; src/views/admin/planning/PlanningCalendarGrid.tsx; src/views/admin/users/UsersHubView.tsx; src/views/shared/AnnouncementsView.tsx; src/views/shared/classwork/SubjectDetailPage.tsx; src/views/student/DutyMarkingView.tsx; src/views/student/MyMinistryInfoView.tsx
182,Modals,Close custom recipients,,src/components/modals/CreateAnnouncementModal.tsx
183,Modals,Close preview,,src/components/modals/FilePreviewModal.tsx
184,Modals,Comments,,src/components/modals/SubmissionDetailModal.tsx; src/views/shared/tabs/HomeworkTab.tsx
185,Modals,Content languages,,src/components/modals/CreateAnnouncementModal.tsx
186,Modals,Crop preview,,src/components/modals/AvatarCropModal.tsx
187,Modals,Custom,,src/components/modals/CreateAnnouncementModal.tsx; src/views/admin/AttendanceView.tsx
188,Modals,Custom recipients,,src/components/modals/CreateAnnouncementModal.tsx
189,Modals,Default,,src/components/modals/CreateAnnouncementModal.tsx
190,Modals,Delete comment,,src/components/modals/SubmissionDetailModal.tsx; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
191,Modals,Delivery,,src/components/modals/CreateAnnouncementModal.tsx
192,Modals,Description,,src/components/modals/EditModal/EditSubjectForm.tsx
193,Modals,Description / instructions,,src/components/modals/CreateAssignmentModal.tsx
194,Modals,Doc,,src/components/modals/CreateAnnouncementModal.tsx; src/views/admin/KnowledgeBaseView.tsx
195,Modals,"Docs, Sheets, or Slides",,src/components/modals/CreateAnnouncementModal.tsx
196,Modals,Done,,src/components/modals/CreateAnnouncementModal.tsx; src/views/admin/KnowledgeBaseView.tsx; src/views/shared/TodosView.tsx
197,Modals,Download,,src/components/modals/FilePreviewModal.tsx; src/components/subject/SubjectCurriculumPlan.tsx
198,Modals,Draft,,src/components/modals/CreateAnnouncementModal.tsx; src/views/admin/BooksView.tsx
199,Modals,Drag to reposition · Use slider to zoom,,src/components/modals/AvatarCropModal.tsx
200,Modals,Due Date,,src/components/modals/CreateAssignmentModal.tsx
201,Modals,"e.g., 2025",,src/components/modals/EditModal/EditCourseForm.tsx
202,Modals,"e.g., 5",,src/components/modals/EditModal/EditSubjectForm.tsx
203,Modals,Edit recipients,,src/components/modals/CreateAnnouncementModal.tsx
204,Modals,Email,,src/components/modals/ContactMentorModal.tsx; src/components/modals/EditModal/EditUserForm.tsx; src/views/admin/KnowledgeBaseView.tsx; src/views/shared/SettingsView.tsx
205,Modals,EN / BG,,src/components/modals/CreateAnnouncementModal.tsx
206,Modals,End Date,,src/components/modals/EditModal/EditCourseForm.tsx
207,Modals,English,,src/components/modals/CreateAnnouncementModal.tsx
208,Modals,"English and Bulgarian are optional, but one complete language is required.",,src/components/modals/CreateAnnouncementModal.tsx
209,Modals,Enter email address,,src/components/modals/EditModal/EditUserForm.tsx
210,Modals,Enter full name,,src/components/modals/EditModal/EditUserForm.tsx
211,Modals,Enter session title,,src/components/modals/EditModal/EditClassForm.tsx
212,Modals,Enter subject description,,src/components/modals/EditModal/EditSubjectForm.tsx
213,Modals,Enter subject title,,src/components/modals/EditModal/EditSubjectForm.tsx; src/views/admin/planning/AddPlanningSubjectModal.tsx
214,Modals,"Estimated from current people, roles, and active year group enrollments.",,src/components/modals/CreateAnnouncementModal.tsx
215,Modals,Everyone,,src/components/modals/CreateAnnouncementModal.tsx
216,Modals,Failed to add session,,src/components/modals/EditModal/EditModal.tsx; src/hooks/useCourses.ts
217,Modals,Failed to update session,,src/components/modals/EditModal/EditModal.tsx
218,Modals,File:,,src/components/modals/SubmissionDetailModal.tsx
219,Modals,First Hour,,src/components/modals/EditModal/EditClassForm.tsx
220,Modals,First Year,,src/components/modals/CreateAnnouncementModal.tsx; src/components/modals/EditModal/EditCourseForm.tsx; src/components/modals/EditModal/EditSubjectForm.tsx; src/components/modals/EditModal/EditUserForm.tsx; src/views/admin/TuitionView.tsx; src/views/admin/planning/AddPlanningSubjectModal.tsx; src/views/admin/planning/SubjectLibraryPanel.tsx
